date,total_sales
2020-01-01,1074.51
2020-01-02,980.57
2020-01-03,1099.77
2020-01-04,1232.37
2020-01-05,970.1
2020-01-06,971.41
2020-01-07,1244.72
2020-01-08,1124.26
2020-01-09,940.03
2020-01-10,1093.14
2020-01-11,943.55
2020-01-12,944.5
2020-01-13,1051.96
2020-01-14,729.98
2020-01-15,759.53
2020-01-16,935.23
2020-01-17,868.95
2020-01-18,1069.31
2020-01-19,887.27
2020-01-20,812.93
2020-01-21,1245.92
2020-01-22,993.5
2020-01-23,1038.79
2020-01-24,816.24
2020-01-25,949.59
2020-01-26,1049.18
2020-01-27,861.18
2020-01-28,1091.47
2020-01-29,946.31
2020-01-30,993.94
2020-01-31,948.72
2020-02-01,1318.11
2020-02-02,1039.52
2020-02-03,884.17
2020-02-04,1167.49
2020-02-05,862.26
2020-02-06,1077.99
2020-02-07,753.98
2020-02-08,849.98
2020-02-09,1080.0
2020-02-10,1162.51
2020-02-11,1078.71
2020-02-12,1036.93
2020-02-13,1010.37
2020-02-14,835.02
2020-02-15,950.08
2020-02-16,990.21
2020-02-17,1219.13
2020-02-18,1113.36
2020-02-19,798.61
2020-02-20,1112.92
2020-02-21,1007.79
2020-02-22,965.26
2020-02-23,1159.79
2020-02-24,1223.92
2020-02-25,1210.2
2020-02-26,945.85
2020-02-27,1026.58
2020-02-28,1123.88
2020-02-29,1221.74
2020-03-01,1004.76
2020-03-02,1050.0
2020-03-03,913.11
2020-03-04,900.84
2020-03-05,1203.36
2020-03-06,1286.12
2020-03-07,1073.09
2020-03-08,1235.62
2020-03-09,1140.53
2020-03-10,990.71
2020-03-11,1142.87
2020-03-12,1320.56
2020-03-13,1085.66
2020-03-14,1326.91
2020-03-15,700.42
2020-03-16,1217.84
2020-03-17,1108.78
2020-03-18,1052.04
2020-03-19,1111.81
2020-03-20,801.07
2020-03-21,1067.41
2020-03-22,1155.08
2020-03-23,1324.34
2020-03-24,1026.06
2020-03-25,983.66
2020-03-26,1030.8
2020-03-27,1244.51
2020-03-28,1157.64
2020-03-29,1029.98
2020-03-30,1187.55
2020-03-31,1126.24
2020-04-01,1258.08
2020-04-02,1008.58
2020-04-03,1065.84
2020-04-04,1057.27
2020-04-05,897.65
2020-04-06,1162.68
2020-04-07,1158.51
2020-04-08,1121.19
2020-04-09,1086.31
2020-04-10,910.26
2020-04-11,1060.54
2020-04-12,1073.28
2020-04-13,1005.41
2020-04-14,1102.6
2020-04-15,1188.45
2020-04-16,1411.81
2020-04-17,1156.11
2020-04-18,1169.58
2020-04-19,1120.81
2020-04-20,845.18
2020-04-21,1130.03
2020-04-22,1144.06
2020-04-23,1505.51
2020-04-24,1108.17
2020-04-25,1183.26
2020-04-26,1133.81
2020-04-27,964.7
2020-04-28,1312.4
2020-04-29,1254.74
2020-04-30,1261.58
2020-05-01,1007.48
2020-05-02,1355.26
2020-05-03,935.52
2020-05-04,1234.77
2020-05-05,1476.25
2020-05-06,1000.04
2020-05-07,1064.6
2020-05-08,1165.42
2020-05-09,1075.87
2020-05-10,919.71
2020-05-11,1163.5
2020-05-12,994.77
2020-05-13,1226.05
2020-05-14,1017.99
2020-05-15,1389.27
2020-05-16,1040.17
2020-05-17,1110.23
2020-05-18,1281.43
2020-05-19,975.63
2020-05-20,1195.23
2020-05-21,1358.03
2020-05-22,921.68
2020-05-23,1191.34
2020-05-24,1203.45
2020-05-25,1282.57
2020-05-26,980.57
2020-05-27,968.85
2020-05-28,1246.02
2020-05-29,1213.07
2020-05-30,1206.89
2020-05-31,1222.07
2020-06-01,1068.88
2020-06-02,1206.49
2020-06-03,1216.38
2020-06-04,1066.03
2020-06-05,1453.8
2020-06-06,1245.75
2020-06-07,996.72
2020-06-08,1274.63
2020-06-09,1030.67
2020-06-10,1295.66
2020-06-11,1352.1
2020-06-12,1055.91
2020-06-13,1324.22
2020-06-14,1242.33
2020-06-15,1304.41
2020-06-16,1466.29
2020-06-17,1145.64
2020-06-18,1070.05
2020-06-19,1050.35
2020-06-20,1062.05
2020-06-21,1173.5
2020-06-22,1236.88
2020-06-23,1227.84
2020-06-24,1311.04
2020-06-25,1189.53
2020-06-26,1406.22
2020-06-27,1149.09
2020-06-28,1597.41
2020-06-29,1283.83
2020-06-30,1061.98
2020-07-01,1030.5
2020-07-02,1264.07
2020-07-03,1158.74
2020-07-04,1299.91
2020-07-05,1264.34
2020-07-06,1182.97
2020-07-07,1067.41
2020-07-08,967.72
2020-07-09,1128.49
2020-07-10,1324.43
2020-07-11,1228.59
2020-07-12,1010.11
2020-07-13,1223.43
2020-07-14,1255.73
2020-07-15,1065.83
2020-07-16,1221.93
2020-07-17,1208.06
2020-07-18,1028.33
2020-07-19,1253.89
2020-07-20,1284.77
2020-07-21,1363.54
2020-07-22,1359.57
2020-07-23,995.26
2020-07-24,1061.64
2020-07-25,1279.97
2020-07-26,1280.17
2020-07-27,1280.74
2020-07-28,1781.77
2020-07-29,1289.86
2020-07-30,1374.92
2020-07-31,1348.03
